business_id,name,city,state,main_category,business_avg_stars,review_count
c7OfNRMIqAhtNOMEat3Rbg,Fellini Cafe,Newtown Square,PA,Italian,4.0,156
Gw7UW0E2BguzL9suQnwDeg,SPOT Gourmet Burgers,Philadelphia,PA,Restaurants,4.5,282
SbdL-8NSmTWgSwdGZBa7WQ,Fresco Pizzeria,Tucson,AZ,Food,4.0,240
c8rjE6NcfeyzLB_aU1GdMA,Sláinte Pub & Grill,Philadelphia,PA,Nightlife,3.5,139
7EhTT4iEuA7JaaWA-eI3Qw,Seasons Cafe & Bakery,Pinellas Park,FL,Food,4.0,292
JUlsvVAvZvGHWFfkKm0nlg,El Camino Real,Philadelphia,PA,Mexican,3.5,1014
GUMVStVaJfWmCIpQA4TtHg,Crazy Sushi,Philadelphia,PA,Restaurants,4.0,550
B91yBSPvAz5O_t9JFafN1Q,O'Malleys Bar,Santa Barbara,CA,Nightlife,2.5,172
NT5S6JV5wPwKOd3s3Yh1zQ,Burger Up,Nashville,TN,Restaurants,4.0,857
kxX2SOes4o-D3ZQBkiMRfA,Zaika,Philadelphia,PA,Halal,4.0,181
EqEcDeXqIq1YwnzHg_ZUFw,Frost Gelato,Tucson,AZ,Coffee & Tea,4.5,243
xbE59o8d_8N72T0WMW1I8A,Mattress Firm Harvard,Reno,NV,Mattresses,4.5,33
SlZJATE_TGUU8X34UJNi4g,La Mulita,Indianapolis,IN,Mexican,4.0,136
4SneIG3-02kRCgQx-hu51Q,J B Dawson's Restaurant & Bar,Langhorne,PA,Steakhouses,4.0,256
hUX1yAimviBIhb21D_KtcQ,Cactus Restaurant & Bar,Philadelphia,PA,Mexican,3.0,312
diwwt5QBU3-Thig9SVlsOA,Brew Brothers,Reno,NV,Bars,3.5,592
wxNrsZt7towVK4LgjjEo1g,Osteria,Moorestown,NJ,Italian,3.5,99
z6SVTb9eFIcWVpKXIfFEvQ,Kingsway Mall,Edmonton,AB,Shopping,4.0,53
VeqkfRUzZAKlQer3npXPdQ,New India's Kitchen,Ballwin,MO,Restaurants,4.0,130
bdth7r1brx9yRU7sYwF9jQ,Nippon Tei,Ballwin,MO,Japanese,4.0,254
ZhCnKe7U1TsHWnAlXl8Isw,Old Standard Fried Chicken,Saint Louis,MO,Restaurants,3.0,195
IbndcMURguByburM72o3SA,State Street Kitchen,Newtown,PA,Korean,4.5,124
rVhsjZWk_u20TDcvwhbdyQ,Indy Tacos,Indianapolis,IN,Restaurants,4.0,276
neWdmzHgbpqSx62jynDd7A,Broussard's,New Orleans,LA,Seafood,3.5,63
u7_3L1NBWgxhBM_B-cmmnA,Pizzeria Vetri,Philadelphia,PA,Italian,4.0,651
SKW1zA4nY_SPKkQPmXNHoA,Toppers Pizza,Carmel,IN,Food,3.5,70
jtsckI_01hlbGLpEFwJu0A,Buff Beauty Bar,New Orleans,LA,Hair Removal,4.5,209
KhBUg5QhBYuK8RZAe5gDMQ,The Independent,Tampa,FL,Restaurants,4.0,360
ZnxGRJpKHRQ0SAYSJk4SFw,Sunrise Family Restaurant,Saint Ann,MO,American (Traditional),3.5,87
W4ZEKkva9HpAdZG88juwyQ,Mr. B's Bistro,New Orleans,LA,Bars,4.0,2064
iDtIMWJVIGYspg5JvJKaOw,Mad Mex - Wynnewood,Wynnewood,PA,Food,2.5,248
SYy81zP4MPF4DtOqjRq4qg,Yuengling Brewing Company of Tampa,Tampa,FL,Breweries,4.5,97
At6iwGTy6bDxc7PUEOTvQw,Jake's Wayback Burgers,Willow Grove,PA,Burgers,3.0,30
grjFEAN9gXOKQFEta4yBJg,Tropical Isle Original,New Orleans,LA,Bars,4.0,227
hqm2zJ1WY5UaVGZ6j07NNA,The Turning Point - Cherry Hill,Cherry Hill,NJ,Breakfast & Brunch,3.5,243
zwfN21b6gN2XGjNG6MYNzQ,Wolfgang Puck Express,Indianapolis,IN,Breakfast & Brunch,2.0,70
NMtUD873aWrNjljt3VOcFA,Juniper Commons,Philadelphia,PA,American (Traditional),3.5,63
CinrOH8rMB2hEvPY_iFOHA,Casselli's Ristorante,Philadelphia,PA,Restaurants,3.5,39
5bCsL-Z3QnuBmJQtIt8qyw,Pacifico Hyundai,Philadelphia,PA,Car Dealers,2.5,46
-e9MepGs8piOYdwuP5x7tw,Lilly's Music & Social House,Saint Louis,MO,Music Venues,4.5,15
35GCFtezJ3upyqGf-zJ8MA,Gateway To India,St. Petersburg,FL,Food,4.0,393
Uc6PdjT_MO5bRPQsUUEy5Q,Anthony's Coal Fired Pizza,Tampa,FL,Restaurants,4.0,229
G6kRQylkjNNE-yUXM2muBg,Brandon Bagels,Brandon,FL,Bagels,4.5,119
D2kZP7jvrWTuRzcPY6NbqA,Skyway Cafe,St. Petersburg,FL,Restaurants,4.0,276
5S3Cc7EsEo66BSL7s6iF-w,Whirled Peace Frozen Yogurt & Smoothies,Philadelphia,PA,Bubble Tea,3.5,87
qppGA9vCUPfw9ngOy_R90w,Cru Cellars - Palma Ceia,Tampa,FL,Restaurants,4.0,184
zVoxVPHEt11_0GzqNuT2ZQ,Home Wine Kitchen,Saint Louis,MO,Restaurants,4.0,186
aZNiVR6oAMQX5__yGPvYsg,Susanna Foo Chinese Cuisine,Philadelphia,PA,Chinese,3.5,26
gKPWC7F219oEbu5NXPzH4g,Sam's Beach Bar,Hudson,FL,Seafood,3.5,555
3SHw4aZW_muE1kRSLQQjjA,IHOP,TAMPA,FL,Breakfast & Brunch,3.0,69
5FDt7sy-70y4_37Dh2qcbw,El Arado Mexican Grill,Indianapolis,IN,Latin American,3.0,162
2FnoLyEO0nq7g2Wz8x7Z5A,honeygrow,Bala Cynwyd,PA,Juice Bars & Smoothies,3.5,344
SwBhaxfQPbyhsi0QHUAN0A,Seminole Hard Rock Hotel & Casino Tampa,Tampa,FL,Food,2.5,739
2zocwC7qMq3LsivPn9Z-Eg,Gryphon Cafe,Wayne,PA,Restaurants,4.0,195
7UxNDF6ZpabC3O0-Qbg3Xw,Yama Japanese Restaurant,Lumberton,NJ,Restaurants,3.0,52
m1EGAIfFEN9nG2_bJqnAcQ,Sushi Minato,Reno,NV,Sushi Bars,4.0,231
TldgQUtim0bm5VZr-Rpqfw,Office Depot,Sparks,NV,Shopping,3.5,22
r43DrfYAbAgifsYyNkljZw,Red Hot & Blue Restaurant,Cherry Hill,NJ,Southern,2.5,99
aw5GN4yk6r0r9e_5TdiLFQ,Carmine's Parkside Pizza,Chester Springs,PA,Pizza,3.5,60
0qu0fNTOsSmuREYVIMPuIQ,Cold Spring Tavern,Santa Barbara,CA,American (Traditional),4.5,1018
-bGw8ARHQucKWEHEkxpGFw,The Daily Bread Bakery & Cafe,St. Louis,MO,Bakeries,4.0,114
5kZtETKu37RuwHATrB4a5g,City Fitness - Graduate Hospital,Philadelphia,PA,Gyms,3.5,193
NYYPj2WpUuIz2mP6YBWKnA,Classic Collision Goleta,Goleta,CA,Auto Repair,4.5,98
6jgRI0lDt48CY8j1GAGuKQ,Red Bank Veterinary Hospital Mount Laurel,Mount Laurel Township,NJ,Veterinarians,3.5,88
xJ3NSwE0xhdtA-tB_y_rNQ,Jack Dempsey's Restaurant & Bar,New Orleans,LA,Seafood,4.0,168
WIv5kTb_P3jnngPkMeRRNw,Jay's Favorite Sushi Bar,Philadelphia,PA,Sushi Bars,3.5,97
2lQrzb0WPexs7oPdAPpQFw,Stigma Ink,Tampa,FL,Boat Repair,5.0,108
bJAY2baMKSTlWRc-QZGopQ,Lilly's Cafe America,Doylestown,PA,Restaurants,3.5,59
pPFv6CTFK5i8FNj8f3_pVg,Sloppy Hoggs Roed Hus,Edmonton,AB,Restaurants,3.5,115
n5P6-HWN3kFSYBxfVfDxEg,Shephard's Beach Resort,Clearwater Beach,FL,Hotels & Travel,3.0,371
3yI-7C8JzbG-ZaSqAGHMAQ,TacoSon,Tampa,FL,Restaurants,4.5,453
0zH0l4Jbf-oove3cLvrFOg,Vecchia Osteria,Newtown,PA,American (New),4.0,359
7-Vu4z0QdhCFizP-bHxoxQ,Pet's Best Friend Veterinary Hospital,Levittown,PA,Veterinarians,4.0,25
1Pxg1AMf0rEn9QF__ZYoWw,Samurai Sushi,Nashville,TN,Japanese,4.0,367
YgMZm_alGFUeQO4hz9X9VA,Earl's New American,New Hope,PA,Nightlife,3.5,135
cx2fwY66_xTNFo0p2EEC4g,Shere-E-Punjab,Media,PA,American (New),4.0,170
VcTddMHnMZeKibhRFWuqVw,Wagenwerx,Wyndmoor,PA,Auto Repair,5.0,11
jQBPO3rYkNwIaOdQS5ktgQ,The Fountain On Locust,Saint Louis,MO,Ice Cream & Frozen Yogurt,4.5,1010
P8QLcGZZOPgl9w_3ARBKiQ,Hai Street Kitchen & Co,Philadelphia,PA,Japanese,3.5,100
qs9d6iGos9UO4BzhVmJ9UA,Garagiste Meadery,Tampa,FL,Food,4.5,46
qot32tHVWZpiJibLTwQGyw,Pina's Pizza,Philadelphia,PA,Restaurants,3.5,47
tkFXSTpI-JmDgzhPU8ZsVA,Unique Indoor Comfort,King of Prussia,PA,Appliances & Repair,4.5,108
USekrAG0-4tJUs9V2gBBOQ,The Honu,Dunedin,FL,Poke,4.0,234
tYCok-NtWvg8_k7woeB83w,Grand Lux Cafe,Cherry Hill,NJ,Desserts,3.5,422
alUk6OwNhofyc90NDMDY-Q,Fabio's Chicken Restaurant Takeout,Philadelphia,PA,Latin American,4.5,14
f82dhKNiUXsDVPMLqKYiIQ,Sher-e-Punjab,Tucson,AZ,Restaurants,4.0,446
vFpbUcVAXxrSz5mFIzKbyw,Miller's Ale House - Springfield,Springfield,PA,Sports Bars,3.0,295
MaYb7qMN6BomP1zQGj3Wjg,Pi Pizzeria - Delmar Loop,Saint Louis,MO,Nightlife,4.0,633
3StNEgKAwpCFR1q0urmJrw,Raijin Ramen,Tucson,AZ,Noodles,4.0,594
Zx7n8mdt8OzLRXVzolXNhQ,Milk and Honey Nashville,Nashville,TN,American (New),4.0,1725
Iso6F11o-W4g6d7OUEaMng,Batture,New Orleans,LA,Seafood,4.5,34
14ZGwnDyydXdSBsLXpSUrA,Vientiane Café,Philadelphia,PA,Vietnamese,4.0,304
MHqeqoJEjsTHivmuXOW4iQ,3500 Winehaus,Saint Louis,MO,Wine Bars,3.5,40
M0c99tzIJPIbrY_RAO7KSQ,Hyatt Regency St. Louis at the Arch,Saint Louis,MO,Event Planning & Services,3.5,430
MbKhuO-4uYPc0NRZDRWoew,MexiCali,Philadelphia,PA,Restaurants,3.5,69
lTlii3QHEVvsagPGsCtu9w,Han Dynasty,Exton,PA,Restaurants,3.5,301
J_195G8K_MziKZEXj7Nxdw,Mr. Wizard's Frozen Custard,Saint Louis,MO,Food,4.0,117
jD99J_5nco5bUTlhMR1fsA,45 Tchoup,New Orleans,LA,Nightlife,4.0,49
f4vbnGoGo3eWorVekctVGQ,Refuel Cafe,New Orleans,LA,Restaurants,4.5,328
pafrjSu3h0v0N8GR3ghNtQ,Yats,Indianapolis,IN,Cajun/Creole,4.5,599
4q4huGL_tQj1XpRB8P5F6A,Children's Hospital of Philadelphia,Philadelphia,PA,Pediatricians,4.0,75
O6hY9yenifuRXrpc4TfgsQ,The Blue Duck,Philadelphia,PA,Restaurants,4.0,495
SyrELEDXKWjuBM6Pekx9Fw,The Irish Pol,Philadelphia,PA,Nightlife,4.0,122
t1qF12NdW8KvCqxqbvy-Hg,Cafe Envie & Espresso Bar,New Orleans,LA,Breakfast & Brunch,4.0,447
uW8L6awmCyjovD9OhWPo7g,Casa Video,Tucson,AZ,Books,4.5,151
cfjXBXseOIBKKnAIVf4fMw,Tbar,Philadelphia,PA,Tea Rooms,4.0,58
WAPhi7JdwIvdTBgM9KsxHA,Westmont Diner,Haddon Township,NJ,Grocery,4.0,156
1NCUTTp6rIyXpwUDVv9qOA,Lazos Pizza & Grill,Philadelphia,PA,Pizza,4.0,176
9uHEhLKTVXATCt7JSvUsCg,John's Water Ice,Philadelphia,PA,Local Flavor,4.5,274
WFRro-8uIBpKoJ1VSKrpdw,Berry Sweet Frozen Yogurt,Philadelphia,PA,Ice Cream & Frozen Yogurt,4.0,73
p7UGlPkE3Gagm9Mq7aHfYg,The Gelateria Coffee Company,Saint Louis,MO,Food,4.5,251
JOvNunKJlWhwJRwLmUR9ZA,Tryst Gastro Lounge,St Petersburg,FL,Bars,3.5,295
rQW9iupvhk6ScPn2VPNLVQ,Octopus Falafel Truck,Philadelphia,PA,Food Trucks,4.5,420
PY9GRfzr4nTZeINf346QOw,Peppermill Reno,Reno,NV,Event Planning & Services,4.0,2486
Dv6RfXLYe1atjgz3Xf4GGw,HipCityVeg,Philadelphia,PA,Burgers,4.0,1082
GBTPC53ZrG1ZBY3DT8Mbcw,Luke,New Orleans,LA,German,4.0,4554
Z5po0aTuzKKblek5y6Sp8Q,500 Degrees,Philadelphia,PA,Food,3.5,443
sLgnx_WFCjEoPsS6NwU70Q,Le Peep,Meridian,ID,Event Planning & Services,4.0,259
hS6KNGCQVTYUdLb2edt58g,Steamboat Natchez,New Orleans,LA,Boat Charters,3.5,780
uE40984_YDgVvPeRpFcCaQ,The Fat Ham,Philadelphia,PA,Southern,4.0,286
cvHY1RTAPSoH94ysP2_eyQ,The Turnip Truck Urban Fare,Nashville,TN,Health Markets,4.0,145
Zi-F-YvyVOK0k5QD7lrLOg,Muriel's Jackson Square,New Orleans,LA,Cajun/Creole,4.0,1963
HCqmx4ENAZ76SAjoalj-MQ,Puckett's Grocery & Restaurant,Franklin,TN,Barbeque,4.0,850
jwGGsDKKOsrLjncBtDnHtw,Aladdin's Hookah Lounge and Bar,Nashville,TN,Hookah Bars,3.5,78
LGi-u2zVoSciM0F_2nSg8g,ACME Markets,Maple Shade,NJ,Department Stores,2.0,19
iCKF72z3fqRTF1vxdBZINQ,Village Pub & Beer Garden,Nashville,TN,American (Traditional),4.0,260
71MulAHeKm5p2kIIGYEwpA,Italian Centre Shop,Edmonton,AB,Bakeries,4.5,41
D73evJ9PZKxO3E5TaThe3w,Superior Grill,New Orleans,LA,Tex-Mex,3.0,510
I0I2mkCOPTYVSLpc8A8VVw,Compère Lapin,New Orleans,LA,Personal Chefs,4.5,804
6NYi9Uj5j0jQgNYpEfl2xg,Mandarin,Saint Louis,MO,Lounges,3.0,65
hwrFnVzxb-hn7TiTlkZJHg,Randall's Wines & Spirits,Saint Louis,MO,Beer,3.5,31
j99PtxlKTW_u5alE4jiqHQ,Ralphs Italian Restaurant,Philadelphia,PA,Restaurants,3.5,653
cX1VH_vpqGoLrio4sV9xcA,Ron's Original Bar & Grille,Exton,PA,American (Traditional),4.0,383
uIZwBkvWicqyWraXvYOipw,Sbraga,Philadelphia,PA,Restaurants,4.0,375
ruFtZKwlJASx5BTk1dh5AQ,Wendy's,Sparks,NV,Fast Food,2.5,35
W7M2FSPPt4avMjLiHkADGg,DSW Designer Shoe Warehouse,Cherry Hill,NJ,Shopping,3.5,25
F-NLo63QqYWQX59M_nNZmg,That BBQ Place,Sherwood Park,AB,Barbeque,4.0,56
4dJedd_98CQJCKTEu1BkEQ,Los Primos,Franklin,TN,Meat Shops,4.5,50
xJWchnP9x_5STCQzEazQ7Q,Charlie's Jeans,Philadelphia,PA,Women's Clothing,3.0,15
yE1raqkLX7OZsjmX3qKIKg,Butcher & Bee,Nashville,TN,Middle Eastern,4.0,863
vN6v8m4DO45Z4pp8yxxF_w,Surrey's Café & Juice Bar,New Orleans,LA,Vegetarian,4.5,2084
B-DiQpcSTJ7oMMnwzbAGTQ,Cucina Zapata,Philadelphia,PA,Thai,4.5,248
bj-_vwEXLa7ECiHZhoOmFg,Dooney's Pub Delran,Delran,NJ,Nightlife,3.5,97
zjNcjqgQlPrbnn-pV5YCSg,Teavana,King of Prussia,PA,Coffee & Tea,2.5,39
tzVLTQNUtiCAxUZmEuF0vQ,1 Tippling Place,Philadelphia,PA,Bars,4.0,300
Dm8r2MmXeXHRaJyPUOQv-Q,Pizzaville,Avon,IN,Food,4.5,42
0BNR2_vrxuXG6I7f3Y6LZQ,"Midtown Corkdorks Wine, Spirits & Beer",NASHVILLE,TN,Food,4.0,117
BxveuvYElRjEIuVNiJAEtA,Best in the West Nugget Rib Cook-Off,Sparks,NV,Local Flavor,4.5,276
BjBDHqHhMXSxgyVipccznQ,Rusty Pelican - Tampa,Tampa,FL,African,4.0,745
AP_sb7dETsflRNNkJinYUQ,Chill Restaurant & Bar,Saint Pete Beach,FL,Bars,4.0,287
yeHLiKNp0hyR-ig4M6us-w,Livery - Indianapolis,Indianapolis,IN,Food,4.5,971
pym7c6ZFEtmoH16xN2ApBg,Katie's Restaurant & Bar,New Orleans,LA,Restaurants,4.5,1289
rTC9QU8Vz516Tkqdwq6KSA,Super Wok,Hermitage,TN,Chinese,3.0,48
9mE7Xp0hH6TMv3eaf2Ylxg,Red Pony,Franklin,TN,Bars,4.5,426
O5zuQH_YowDC-rsK8ZEXCA,Tin Drum Asia Cafe,Tampa,FL,Asian Fusion,3.0,62
sOcGOqOeObtIBhuvcWuY8g,Gallagher's Pub,Edmonton,AB,Bars,2.5,6
85-swIyLL-r4Fm5MmCvR9A,Ronnie Pastrami's Deli and Catering,Pinellas Park,FL,Delis,4.0,71
nP4LqTcK1USiw5WnbOjW7A,Marrakesh Express,Philadelphia,PA,Moroccan,4.5,48
L_sXNadtVHjxMw7Yhvkj9Q,Naoki Ramen,Philadelphia,PA,Ramen,4.0,92
TghRoAMx43V-9l7mH-SENg,Crabby Bills Clearwater Beach,Clearwater Beach,FL,Food,3.5,408
e9lqPiNqcCfu97uCZerq0g,Uptown Carwash & Xpress Lube,New Orleans,LA,Oil Change Stations,3.0,117
YyJ781Cb4ZUlZv35BoBhMw,Target,Harvey,LA,Sporting Goods,3.5,49
l6VYP8AxIoW6U52aDo8fXg,HMV Superstore,Edmonton,AB,Home & Garden,4.0,24
JNxpf9Kz7-d2iwMbdoRUWQ,Harry Rosen West Edmonton Mall,Edmonton,AB,Fashion,3.0,15
KgozvZ1UFfXuJToqe8CfQg,Fortune Chinese Restaurant,Philadelphia,PA,Chinese,3.5,87
1T6X5DvsMezSGCfJ8K11gw,Ed's Bowling,Edmonton,AB,Bars,3.0,41
9Pvwx_IfQgQL4ykmlGV6yA,P.F. Chang's,Plymouth Meeting,PA,Asian Fusion,3.0,243
u_S84xiDCRJ3CV204CIYuQ,Silver In the City,Indianapolis,IN,Event Planning & Services,4.5,205
S2Ho8yLxhKAa26pBAm6rxA,Creole House Restaurant & Oyster Bar,New Orleans,LA,Cajun/Creole,4.0,1594
Q-prSTdggNlxAEFV88BZOw,Tria Cafe Wash West,Philadelphia,PA,Beer,4.5,770
