city,main_category,is_weekend,context_score,context_count
Boise,Landmarks & Historical Buildings,0,3.0,1
Boise,Mediterranean,0,2.0,1
Boise,Mediterranean,1,5.0,1
Boise,Mexican,0,2.3333333333333335,3
Boise,Pizza,0,5.0,1
Boise,Restaurants,0,2.5,4
Boise,Restaurants,1,4.75,4
Boise,Salad,0,3.0,1
Boise,Sandwiches,0,4.0,1
Boise,Sandwiches,1,5.0,1
Boise,Specialty Food,0,2.5,2
Boise,Vegan,0,5.0,2
Boise,Vegan,1,3.0,2
Boise,Vietnamese,0,4.666666666666667,3
Boise,Vietnamese,1,4.0,2
Boothwyn,Food,0,5.0,3
Boothwyn,Food,1,4.333333333333333,3
Boothwyn,Thai,0,4.0,1
Boothwyn,Thai,1,2.0,1
Bordentown,Coffee & Tea,0,5.0,1
Boyertown,Pizza,1,5.0,1
Brandon,Auto Repair,0,5.0,1
Brandon,Bagels,0,4.0,2
Brandon,Bars,0,4.0,3
Brandon,Bars,1,3.0,3
Brandon,Coffee & Tea,0,1.0,1
Brandon,Drugstores,0,4.0,2
Brandon,Fashion,0,5.0,2
Brandon,Fashion,1,5.0,2
Brandon,Fast Food,0,3.0,1
Brandon,Fast Food,1,5.0,1
Brandon,Food,1,1.0,1
Brandon,Korean,0,2.0,1
Brandon,Korean,1,3.0,1
Brandon,Nightlife,0,5.0,2
Brandon,Restaurants,0,4.333333333333333,9
Brandon,Restaurants,1,4.0,3
Brandon,Sandwiches,0,4.333333333333333,3
Brandon,Sandwiches,1,5.0,1
Brandon,Thai,0,5.0,1
Brandon,Thai,1,2.5,2
Brandon,Tires,0,5.0,1
Brandon,Tires,1,3.0,1
Brentwood,American (Traditional),0,3.2,5
Brentwood,American (Traditional),1,4.0,2
Brentwood,Automotive,1,4.0,1
Brentwood,Chicken Wings,0,4.0,1
Brentwood,Chicken Wings,1,2.0,1
Brentwood,Chinese,0,4.0,1
Brentwood,Drugstores,0,2.5,2
Brentwood,Drugstores,1,4.0,1
Brentwood,Event Planning & Services,0,4.0,1
Brentwood,Event Planning & Services,1,3.0,1
Brentwood,Food,0,5.0,2
Brentwood,Japanese,0,4.333333333333333,12
Brentwood,Japanese,1,5.0,2
Brentwood,Mexican,0,3.5,4
Brentwood,Mexican,1,3.5,2
Brentwood,Oil Change Stations,0,5.0,1
Brentwood,Oil Change Stations,1,1.0,1
Brentwood,Pediatricians,0,5.0,1
Brentwood,Pet Services,0,5.0,1
Brentwood,Restaurants,0,5.0,3
Brentwood,Restaurants,1,2.0,1
Brentwood,Sandwiches,0,2.0,1
Brentwood,Sandwiches,1,5.0,1
Bridgeport,Restaurants,0,3.75,4
Bridgeport,Restaurants,1,2.3333333333333335,3
Bridgeton,American (Traditional),0,5.0,1
Bridgeton,Mexican,0,4.0,1
Bridgeton,Restaurants,0,2.0,1
Bristol,Food,1,2.0,1
Bristol,Local Flavor,0,4.0,1
Brookhaven,Restaurants,0,3.0,2
Brookhaven,Restaurants,1,4.0,3
Brooklawn,Bars,0,5.0,1
Broomall,Auto Repair,0,2.6666666666666665,3
Broomall,Event Planning & Services,0,5.0,1
Broomall,Hair Salons,0,5.0,1
Broomall,Mexican,1,4.0,3
Broomall,Pizza,0,3.0,1
Broomall,Restaurants,0,3.5,4
Broomall,Restaurants,1,2.5,2
Bryn Mawr,Bars,0,4.0,1
Bryn Mawr,Bars,1,4.0,1
Bryn Mawr,Desserts,0,5.0,1
Bryn Mawr,Desserts,1,4.0,1
Bryn Mawr,Health & Medical,0,4.0,1
Bryn Mawr,Irish Pub,0,4.0,2
Bryn Mawr,Irish Pub,1,4.0,1
Bryn Mawr,Italian,0,4.125,8
Bryn Mawr,Italian,1,3.6,5
Bryn Mawr,Pizza,0,4.0,1
Bryn Mawr,Pizza,1,5.0,1
Bryn Mawr,Restaurants,0,4.0,1
Bryn Mawr,Seafood,0,4.0,3
Bryn Mawr,Seafood,1,4.333333333333333,3
Bryn Mawr,Waxing,0,4.5,2
Buckingham,Restaurants,0,3.3333333333333335,3
Buckingham,Restaurants,1,4.0,1
Burlington,Car Dealers,0,1.0,1
Burlington,Car Dealers,1,2.0,1
Burlington,Diners,0,2.5,2
Burlington,Diners,1,1.0,1
Burlington,Irish,1,4.0,2
Bywater,Breakfast & Brunch,0,5.0,2
Camden,Juice Bars & Smoothies,0,4.0,1
Camden,Juice Bars & Smoothies,1,4.0,1
Carmel,Active Life,1,5.0,1
Carmel,American (New),0,4.0,1
Carmel,American (Traditional),0,4.0,11
Carmel,American (Traditional),1,4.3,10
Carmel,Bagels,0,3.5,2
Carmel,Bars,0,4.25,4
Carmel,Buffets,0,3.0,1
Carmel,Cafes,0,4.75,4
Carmel,Cycling Classes,0,5.0,3
Carmel,Cycling Classes,1,5.0,1
Carmel,Delis,0,3.0,2
Carmel,Desserts,1,5.0,1
Carmel,Donuts,1,3.0,1
Carmel,Fast Food,0,2.0,1
Carmel,Fast Food,1,2.0,1
Carmel,Food,0,3.75,8
Carmel,Food,1,4.5,2
Carmel,Hair Salons,0,3.5,2
Carmel,Ice Cream & Frozen Yogurt,0,4.5,2
Carmel,Local Services,0,4.0,1
Carmel,Nightlife,0,3.5,8
Carmel,Pakistani,0,4.4,5
Carmel,Pakistani,1,4.5,2
Carmel,Restaurants,0,3.6,10
Carmel,Restaurants,1,3.8,5
Carmel,Skin Care,0,5.0,1
Carmel,Tires,0,4.0,1
Carpinteria,Active Life,0,5.0,1
Carpinteria,American (Traditional),0,3.75,4
Carpinteria,American (Traditional),1,5.0,1
Carpinteria,Botanical Gardens,0,5.0,1
Carpinteria,Grocery,0,3.6666666666666665,3
Carpinteria,Restaurants,0,3.6,5
Carpinteria,Sandwiches,0,4.0,1
Carrollwood,Chicken Wings,0,3.5,2
Chadds Ford,Art Galleries,1,5.0,1
Chadds Ford,Breakfast & Brunch,1,2.0,1
Chadds Ford,Pizza,0,4.0,2
Chalfont,Japanese,1,5.0,1
Chalfont,Pizza,0,4.0,1
Chalfont,Restaurants,0,2.0,2
Cheltenham,Massage Therapy,0,5.0,1
Cherry Hill,Active Life,0,5.0,1
Cherry Hill,Arts & Entertainment,0,3.5,6
Cherry Hill,Arts & Entertainment,1,2.0,1
Cherry Hill,Auto Detailing,0,3.3333333333333335,3
Cherry Hill,Auto Detailing,1,4.0,1
Cherry Hill,Automotive,0,5.0,1
Cherry Hill,Bakeries,0,5.0,2
Cherry Hill,Bakeries,1,5.0,1
Cherry Hill,Beauty & Spas,0,3.0,1
Cherry Hill,Breakfast & Brunch,0,3.6666666666666665,3
Cherry Hill,Breakfast & Brunch,1,3.5,4
Cherry Hill,Cajun/Creole,0,5.0,1
Cherry Hill,Desserts,0,3.75,8
Cherry Hill,Desserts,1,3.8,5
Cherry Hill,Gyms,0,3.0,1
Cherry Hill,Home & Garden,0,4.0,1
Cherry Hill,Home & Garden,1,1.0,1
Cherry Hill,Hotels & Travel,1,1.0,1
Cherry Hill,Italian,0,4.333333333333333,6
Cherry Hill,Italian,1,5.0,2
Cherry Hill,Japanese,0,2.6666666666666665,3
Cherry Hill,Japanese,1,3.0,2
Cherry Hill,Korean,0,3.5,6
Cherry Hill,Korean,1,2.0,1
Cherry Hill,Local Services,0,4.0,1
Cherry Hill,Massage Therapy,0,4.0,1
Cherry Hill,Pets,1,1.0,1
Cherry Hill,Public Services & Government,0,4.0,1
Cherry Hill,Restaurants,0,4.052631578947368,19
Cherry Hill,Restaurants,1,4.083333333333333,12
Cherry Hill,Seafood,0,3.0,1
Cherry Hill,Shopping,0,4.0,2
Cherry Hill,Shopping,1,4.5,2
Cherry Hill,Southern,0,3.75,4
Cherry Hill,Southern,1,3.0,1
Cherry Hill,Specialty Food,1,3.5,2
Chester,Caribbean,0,4.0,1
Chester,Caribbean,1,4.0,1
Chester,Restaurants,1,2.5,2
Chester Springs,Event Planning & Services,1,2.0,1
Chester Springs,Food,0,3.0,1
Chester Springs,Food,1,5.0,1
Chester Springs,Pizza,0,2.0,1
Chester Springs,Sandwiches,0,3.0,1
Chesterfield,American (New),0,4.166666666666667,6
Chesterfield,American (New),1,4.333333333333333,3
Chesterfield,Delis,0,2.0,1
Chesterfield,Japanese,0,4.0,1
Chesterfield,Mediterranean,0,5.0,1
Chesterfield,Mediterranean,1,5.0,3
Chesterfield,Sports Bars,0,3.0,1
Cinnaminson,Active Life,0,3.6666666666666665,3
Claymont,Restaurants,0,4.0,1
Claymont,Restaurants,1,5.0,1
Clayton,Diners,0,5.0,2
Clayton,Diners,1,5.0,1
Clayton,Food,0,3.6666666666666665,6
Clayton,Food,1,4.125,8
Clayton,Italian,0,4.0,2
Clayton,Italian,1,5.0,1
Clayton,Resorts,0,4.5,2
Clayton,Restaurants,0,4.833333333333333,6
Clayton,Restaurants,1,4.0,2
Clayton,Waxing,0,2.6666666666666665,3
Clayton,Waxing,1,4.5,2
Clearwater,Accessories,0,1.0,2
Clearwater,American (New),0,4.666666666666667,9
Clearwater,American (New),1,5.0,3
Clearwater,American (Traditional),0,3.0,1
Clearwater,American (Traditional),1,4.0,1
Clearwater,Auto Parts & Supplies,0,5.0,1
Clearwater,Breakfast & Brunch,0,3.0,2
Clearwater,Chicken Wings,0,2.0,2
Clearwater,Chicken Wings,1,1.0,1
Clearwater,Ethnic Food,0,2.6,5
Clearwater,Ethnic Food,1,3.0,1
Clearwater,Event Planning & Services,0,3.75,4
Clearwater,Fast Food,0,3.1666666666666665,6
Clearwater,Hair Salons,0,5.0,1
Clearwater,Hardware Stores,1,5.0,1
Clearwater,Home & Garden,1,5.0,1
Clearwater,Hot Dogs,0,2.0,1
Clearwater,Mattresses,0,5.0,1
Clearwater,Medical Centers,0,5.0,1
Clearwater,Mexican,0,4.0,1
Clearwater,Nightlife,1,4.0,1
Clearwater,Pubs,0,5.0,3
Clearwater,Pubs,1,4.0,1
Clearwater,Restaurants,0,3.8,15
Clearwater,Restaurants,1,3.2857142857142856,7
Clearwater,Salad,0,5.0,3
Clearwater,Salad,1,4.75,8
Clearwater,Sandwiches,0,4.5,4
Clearwater,Sandwiches,1,4.0,2
Clearwater,Vietnamese,0,4.0,1
Clearwater Beach,American (Traditional),0,3.0,1
Clearwater Beach,Dance Clubs,0,4.0,1
Clearwater Beach,Food,0,3.25,8
Clearwater Beach,Food,1,4.0,4
Clearwater Beach,Hotels & Travel,0,4.0,8
Clearwater Beach,Restaurants,0,3.0,1
Clearwater Beach,Restaurants,1,4.0,1
Clementon,Bars,0,5.0,1
Clementon,Mexican,1,4.0,1
Clifton Heights,Automotive,1,3.0,1
Clifton Heights,Soup,0,4.5,2
Collegeville,Food,0,4.5,2
Collegeville,Food,1,2.0,1
Collegeville,Restaurants,0,2.75,4
Collegeville,Restaurants,1,4.0,1
Collingdale,Beer,0,4.0,1
Collingswood,American (New),0,3.0,2
Collingswood,American (New),1,2.0,1
Collingswood,American (Traditional),0,4.5,2
Collingswood,American (Traditional),1,4.125,8
Collingswood,Barbers,0,5.0,1
Collingswood,Barbers,1,5.0,1
Collingswood,Food,0,4.428571428571429,7
Collingswood,Food,1,2.0,1
Collingswood,Japanese,0,4.0,2
Collingswood,Parks,0,4.0,1
Collinsville,Mexican,1,2.0,1
Colmar,Auto Parts & Supplies,0,1.0,1
Colmar,Automotive,0,5.0,1
Columbia,Beer,0,5.0,1
Columbia,Beer,1,4.0,1
Columbia,Thai,0,5.0,1
Conshohocken,Auto Repair,0,3.6666666666666665,3
Conshohocken,Boot Camps,0,5.0,1
Conshohocken,Caterers,0,4.0,1
Conshohocken,Ice Cream & Frozen Yogurt,0,1.0,1
Conshohocken,Italian,0,3.0,2
Conshohocken,Italian,1,3.0,1
Conshohocken,Japanese,0,4.0,1
Conshohocken,Japanese,1,2.0,1
Conshohocken,Restaurants,0,3.3333333333333335,3
Conshohocken,Restaurants,1,2.5,2
Creve Coeur,Comfort Food,0,3.5,2
Creve Coeur,Comfort Food,1,3.5,2
Creve Coeur,Fast Food,1,5.0,1
Creve Coeur,Restaurants,0,4.0,1
Creve Coeur,Salad,0,4.5,2
Creve Coeur,Salad,1,4.5,2
Creve Coeur,Vietnamese,0,4.5,4
Dade City,Arts & Entertainment,0,4.0,1
Delran,Nightlife,1,5.0,1
Deptford,Do-It-Yourself Food,1,4.0,2
Des Peres,Candy Stores,0,4.0,1
Des Peres,Fashion,0,4.0,2
Des Peres,Restaurants,0,5.0,1
Des Peres,Salad,1,4.0,1
Des Peres,Shopping,0,3.0,1
Des Peres,Steakhouses,0,4.333333333333333,6
Devon,Food,0,2.3333333333333335,3
Downingtown,Event Planning & Services,0,3.0,2
Downingtown,Gluten-Free,0,3.0,3
Downingtown,Gluten-Free,1,5.0,1
Downingtown,Nightlife,0,3.0,2
Downingtown,Nightlife,1,5.0,1
Doylestown,American (New),0,4.5,2
Doylestown,Automotive,0,2.0,2
Doylestown,Breakfast & Brunch,0,5.0,1
Doylestown,Breakfast & Brunch,1,2.0,2
Doylestown,Candy Stores,0,4.5,2
Doylestown,Event Planning & Services,0,4.333333333333333,3
Doylestown,Food,0,4.0,3
Doylestown,Food,1,3.5,2
Doylestown,Juice Bars & Smoothies,0,5.0,2
Doylestown,Juice Bars & Smoothies,1,5.0,1
Doylestown,Local Flavor,0,4.0,2
Doylestown,Restaurants,0,3.5,6
Doylestown,Restaurants,1,4.5,2
Drexel Hill,Couriers & Delivery Services,1,2.0,1
Drexel Hill,Event Planning & Services,0,4.0,1
Drexel Hill,Event Planning & Services,1,3.0,1
Drexel Hill,Health & Medical,0,3.0,1
Drexel Hill,Physical Therapy,0,3.0,2
Drexel Hill,Physical Therapy,1,4.0,1
Drexel Hill,Restaurants,0,3.6666666666666665,3
Drexel Hill,Restaurants,1,1.0,1
Drexel Hill,Sewing & Alterations,1,5.0,1
Dunedin,American (New),1,4.0,1
Dunedin,Bars,0,3.5714285714285716,7
Dunedin,Bars,1,4.5,4
Dunedin,Chinese,0,2.3333333333333335,3
Dunedin,Coffee & Tea,1,5.0,1
Dunedin,Delis,0,2.0,1
Dunedin,Poke,0,4.0,2
Dunedin,Poke,1,4.666666666666667,3
Dunedin,Restaurants,0,1.0,1
Dunedin,Restaurants,1,4.333333333333333,3
Dunedin,Seafood,0,2.0,1
Dunedin,Specialty Food,0,4.0,1
Eagle,Food,0,2.0,1
Eagleville,American (Traditional),0,2.25,4
Earth City,Restaurants,0,4.0,1
East Alton,Burgers,0,3.0,1
East Alton,Burgers,1,3.0,1
East Norriton,Automotive,0,3.0,2
East Norriton,Bowling,0,4.0,1
East Norriton,Food,0,3.0,1
East Norriton,Food,1,4.0,1
East Norriton,Restaurants,1,3.5,2
East Norriton,Yoga,0,3.0,1
East Norriton,Yoga,1,2.5,2
Eddystone,Restaurants,0,4.5,2
Edmonton,Active Life,0,4.142857142857143,7
Edmonton,Active Life,1,3.0,1
Edmonton,American (Traditional),0,2.75,4
Edmonton,American (Traditional),1,3.0,1
Edmonton,Arts & Entertainment,0,4.0,3
Edmonton,Automotive,0,4.0,1
Edmonton,Bakeries,0,4.142857142857143,7
Edmonton,Bakeries,1,4.5,2
Edmonton,Bars,0,3.5,6
Edmonton,Bars,1,3.0,2
Edmonton,Beauty & Spas,0,4.5,2
Edmonton,Beauty & Spas,1,5.0,1
Edmonton,Beer,0,4.6,5
Edmonton,Beer,1,4.0,1
Edmonton,Bowling,0,4.0,3
Edmonton,Bowling,1,3.0,1
Edmonton,Breakfast & Brunch,0,4.0,5
Edmonton,Breakfast & Brunch,1,3.0,2
Edmonton,Butcher,0,5.0,1
Edmonton,Canadian (New),0,4.5,2
Edmonton,Chicken Wings,0,3.0,2
Edmonton,Chicken Wings,1,4.0,1
Edmonton,Chinese,0,3.5555555555555554,9
Edmonton,Chinese,1,4.0,2
Edmonton,Coffee & Tea,0,3.8,15
Edmonton,Coffee & Tea,1,4.142857142857143,7
Edmonton,Comedy Clubs,0,3.0,1
Edmonton,Comedy Clubs,1,2.0,1
Edmonton,Customized Merchandise,0,2.0,1
Edmonton,Dance Studios,0,3.0,1
Edmonton,Dance Studios,1,5.0,1
Edmonton,Delis,0,4.0,2
Edmonton,Dim Sum,0,4.0,2
Edmonton,Dim Sum,1,3.0,1
Edmonton,Diners,0,4.0,1
Edmonton,Dive Bars,0,3.0,1
Edmonton,Donairs,0,4.5,4
Edmonton,Donairs,1,4.0,1
Edmonton,Dry Cleaning & Laundry,0,4.0,1
Edmonton,Escape Games,0,5.0,1
Edmonton,Fashion,0,4.2,5
Edmonton,Fashion,1,3.0,2
Edmonton,Fast Food,0,3.25,8
Edmonton,Fast Food,1,4.0,1
Edmonton,Food,0,4.111111111111111,18
Edmonton,Food,1,3.875,8
Edmonton,Fruits & Veggies,0,4.0,3
Edmonton,Fruits & Veggies,1,2.5,2
Edmonton,Furniture Stores,0,4.5,2
Edmonton,Furniture Stores,1,5.0,1
Edmonton,Gastropubs,0,4.5,2
Edmonton,German,0,5.0,1
Edmonton,Grocery,0,4.0,3
Edmonton,Health & Medical,0,4.5,2
Edmonton,Home & Garden,0,4.0,5
Edmonton,Home & Garden,1,3.75,4
Edmonton,Hot Dogs,0,2.0,1
Edmonton,Ice Cream & Frozen Yogurt,0,5.0,1
Edmonton,Indian,0,3.5,4
Edmonton,Indian,1,2.0,1
Edmonton,International,0,4.0,1
Edmonton,Italian,0,3.857142857142857,7
Edmonton,Italian,1,4.0,2
Edmonton,Japanese,0,3.0,2
Edmonton,Japanese,1,4.0,1
Edmonton,Jazz & Blues,0,3.5,2
Edmonton,Jazz & Blues,1,3.0,1
Edmonton,Juice Bars & Smoothies,1,5.0,1
Edmonton,Kitchen & Bath,0,4.5,2
Edmonton,Kitchen & Bath,1,5.0,1
Edmonton,Landmarks & Historical Buildings,0,4.333333333333333,3
Edmonton,Mexican,0,4.0,2
Edmonton,Middle Eastern,0,3.6666666666666665,3
Edmonton,Museums,0,5.0,1
Edmonton,Museums,1,3.0,1
Edmonton,Music & DVDs,0,4.333333333333333,3
Edmonton,Music & DVDs,1,5.0,1
Edmonton,Nightlife,0,4.0,5
Edmonton,Nightlife,1,4.0,1
Edmonton,Organic Stores,0,4.0,1
Edmonton,Organic Stores,1,4.333333333333333,3
Edmonton,Personal Shopping,0,4.0,1
Edmonton,Pets,0,3.5,2
Edmonton,Pizza,0,4.5,2
Edmonton,Pizza,1,4.0,1
Edmonton,Restaurants,0,3.973684210526316,38
Edmonton,Restaurants,1,4.0588235294117645,17
Edmonton,Sewing & Alterations,0,4.5,2
Edmonton,Shopping,0,3.5555555555555554,9
Edmonton,Shopping,1,2.857142857142857,7
Edmonton,Specialty Food,0,4.0,6
Edmonton,Sports Bars,0,2.0,1
Edmonton,Sports Bars,1,3.5,2
Edmonton,Sushi Bars,0,4.0,1
Edmonton,Sushi Bars,1,3.3333333333333335,3
Edmonton,Tea Rooms,0,5.0,1
Edmonton,Turkish,0,4.0,1
Edmonton,Used,0,3.0,2
Edmonton,Used,1,4.0,1
Edmonton,Vietnamese,0,4.0,2
Edmonton,Vietnamese,1,3.0,1
Edmonton,Waxing,0,4.0,1
Edmonton,Wholesale Stores,0,3.3333333333333335,3
Edmonton,Women's Clothing,0,3.0,2
Edmonton,Women's Clothing,1,3.0,1
Edwardsville,Asian Fusion,0,4.666666666666667,3
Edwardsville,Bars,0,5.0,1
Edwardsville,Convenience Stores,0,5.0,1
Edwardsville,Restaurants,0,4.0,3
Edwardsville,Restaurants,1,2.5,2
Elkins Park,Chinese,0,3.0,4
Elkins Park,Chinese,1,2.0,1
Elkins Park,Food,0,5.0,1
Elkins Park,Pizza,0,4.0,1
Elkins Park,Pizza,1,5.0,1
Elmer,Campgrounds,0,2.0,1
Essington,Restaurants,0,3.0,2
Ewing,Laundry Services,0,5.0,1
Exton,American (Traditional),0,4.0,6
Exton,American (Traditional),1,3.6666666666666665,3
Exton,Department Stores,0,3.0,1
Exton,Nightlife,0,4.25,4
Exton,Nightlife,1,3.2,5
Exton,Restaurants,0,3.6,15
Exton,Restaurants,1,3.8,5
Exton,Sandwiches,0,5.0,1
Fairless Hills,Sandwiches,1,3.0,1
Fairless Hills,Windshield Installation & Repair,1,4.0,1
Fairview Heights,American (Traditional),0,3.0,3
Fairview Heights,Comfort Food,0,3.75,4
Fairview Heights,Comfort Food,1,3.0,1
Fairview Heights,Event Planning & Services,0,4.6,5
Fairview Heights,Salad,0,3.75,4
Fairview Heights,Seafood,0,3.0,1
Fairview Heights,Seafood,1,3.0,1
Feasterville,Arts & Entertainment,0,2.0,1
Feasterville,Breakfast & Brunch,0,1.0,1
Feasterville,Breakfast & Brunch,1,4.0,1
Feasterville,Nail Salons,1,3.0,1
Feasterville,Shopping,0,4.0,1
Feasterville Trevose,Restaurants,0,4.0,1
Feasterville-Trevose,Local Services,0,1.0,1
Feasterville-Trevose,Mexican,0,4.0,2
Fenton,Desserts,0,4.0,1
Fenton,Restaurants,0,1.0,1
Fenton,Restaurants,1,4.0,2
Fenton,Salad,1,4.0,1
Fenton,Sporting Goods,0,5.0,2
Fenton,Sports Wear,1,3.0,1
Fishers,Active Life,0,5.0,1
Fishers,American (Traditional),0,4.0,2
Fishers,American (Traditional),1,4.0,1
Fishers,Asian Fusion,0,4.0,1
Fishers,Automotive,0,4.5,2
Fishers,Beauty & Spas,0,5.0,1
Fishers,Festivals,0,5.0,1
Fishers,Festivals,1,4.0,2
Fishers,Landscaping,0,4.0,1
Fishers,Landscaping,1,5.0,1
Fishers,Libraries,0,2.0,1
Fishers,Libraries,1,4.0,1
Fishers,Mexican,0,3.8,5
Fishers,Mexican,1,2.3333333333333335,3
Fishers,Pet Training,0,5.0,1
Fishers,Pizza,0,3.8333333333333335,6
Fishers,Pizza,1,3.6666666666666665,3
Fishers,Restaurants,0,3.2,15
Fishers,Restaurants,1,4.5,2
Fishers,Sandwiches,0,3.8,5
Florissant,American (Traditional),0,4.625,8
Florissant,Restaurants,0,4.0,1
Florissant,Restaurants,1,3.0,1
Florissant,Thai,0,4.5,2
Florissant,Vietnamese,0,5.0,1
Flourtown,Mexican,0,3.0,1
Flourtown,Tires,0,4.0,1
Folsom,Burgers,0,3.5,2
Folsom,Day Spas,0,3.0,1
Fort Washington,Pizza,0,2.6666666666666665,3
Franklin,American (New),0,2.0,1
Franklin,American (Traditional),0,2.857142857142857,7
Franklin,American (Traditional),1,2.5714285714285716,7
Franklin,Bakeries,0,4.0,1
Franklin,Bakeries,1,2.0,1
Franklin,Barbeque,0,4.333333333333333,9
Franklin,Barbeque,1,3.5,4
Franklin,Bars,0,4.181818181818182,11
Franklin,Bars,1,3.3333333333333335,3
Franklin,Beauty & Spas,0,3.0,2
Franklin,Breakfast & Brunch,0,2.75,4
Franklin,Breakfast & Brunch,1,2.5,2
Franklin,Burgers,0,3.2,10
Franklin,Burgers,1,1.0,1
Franklin,Fashion,1,3.0,1
Franklin,Food,0,3.6666666666666665,3
Franklin,Food,1,2.0,1
Franklin,Grocery,0,5.0,1
Franklin,Gyms,0,4.0,1
Franklin,Meat Shops,0,4.0,1
Franklin,Mexican,0,3.0,2
Franklin,Noodles,0,2.0,2
Franklin,Noodles,1,5.0,1
Franklin,Pizza,0,3.0,2
